Chromosome	Start	Stop	Strand	Gene Symbol	gene_biotype	gene_name	gene_source	TB64SL	TB65SR	TB66SL	TB64SR	TB65SL	TB66SR	TB61SL	TB61SR	TB68SL	TB68SR
2	163644850	163645802	+	0610039K10Rik	lncRNA	0610039K10Rik	ensembl_havana	0.0001	0.0001	0.0150465	0.0001	0.0120412	0.0457826	0.0001	0.0267246	0.0425675	0.0001
5	143329247	143332705	+	0610040B10Rik	lncRNA	0610040B10Rik	havana	1.19021	1.2808	0.926783	1.32319	0.883746	1.08506	1.29796	1.5177	1.26351	1.4855
6	108577039	108660935	-	0610040F04Rik	lncRNA	0610040F04Rik	havana	0.0001	0.0120691	0.089779	0.0690111	0.0956293	0.0115207	0.0676966	0.0001	0.0638012	0.0001
5	63812363	63899626	+	0610040J01Rik	protein_coding	0610040J01Rik	ensembl_havana	1.55001	1.40049	1.22571	0.689211	0.991216	1.34774	1.23036	1.22483	0.955618	0.859509
4	101353783	101399182	+	0610043K17Rik	lncRNA	0610043K17Rik	havana	0.346061	0.215544	0.343869	0.537606	0.10757	0.262775	0.365122	0.399469	0.307989	0.23352
18	25713770	25719148	+	0710001A04Rik	lncRNA	0710001A04Rik	havana	0.0831308	0.203575	0.0001	0.0001	0.0836881	0.0115207	0.0001	0.0267246	0.0213337	0.0001
5	109995511	109996399	-	1010001B22Rik	lncRNA	1010001B22Rik	havana	0.138485	0.323266	0.448495	0.261962	0.2031	0.285616	0.324564	0.239722	0.201821	0.37145
3	138065052	138081507	+	1110002E22Rik	protein_coding	1110002E22Rik	havana	22.9166	13.0943	7.84701	12.032	15.5833	23.0698	10.9643	10.9694	26.6272	13.1883
10	66912489	66920259	-	1110002J07Rik	lncRNA	1110002J07Rik	havana	0.18	0.215544	0.0001	0.165487	0.071747	0.0115207	0.0271387	0.0666615	0.201821	0.03193
12	3403878	3427012	-	1110002L01Rik	lncRNA	1110002L01Rik	ensembl_havana	8.12707	8.11106	7.83087	7.78574	8.88429	7.16086	7.57093	7.20137	7.75044	8.46684
1	35879845	35881120	+	1110002O04Rik	lncRNA	1110002O04Rik	havana	0.124646	0.0001	0.0001	0.0276644	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
5	65405751	65406518	+	1110003F10Rik	TEC	1110003F10Rik	havana	0.429092	0.263421	0.328923	0.24818	0.429982	0.239934	0.311045	0.439406	0.499093	0.4245
7	116039397	116105211	+	1110004F10Rik	protein_coding	1110004F10Rik	ensembl_havana	22.2527	24.322	22.3754	21.7058	18.8671	22.2195	20.6829	22.4476	23.4567	21.0106
5	115631049	115631817	-	1110006O24Rik	lncRNA	1110006O24Rik	havana	0.193838	0.0599456	0.29903	0.137922	0.286688	0.148569	0.175851	0.213097	0.382307	0.1062
2	32377097	32381939	-	1110008P14Rik	protein_coding	1110008P14Rik	ensembl_havana	5.45246	7.8399	6.47193	5.82996	5.30198	6.94386	4.70482	6.41663	5.59519	6.6844
X	70385877	70389418	+	1110012L19Rik	protein_coding	1110012L19Rik	ensembl_havana	5.48013	5.36227	4.43921	5.07195	3.9999	4.64831	5.23208	5.40482	5.69074	4.32898
15	100613173	100613844	-	1110013H19Rik	lncRNA	1110013H19Rik	havana	0.152323	0.0001	0.089779	0.0827933	0.215041	0.148569	0.0947353	0.146535	0.16997	0.19108
3	4797558	4814912	+	1110015O18Rik	lncRNA	1110015O18Rik	havana	0.0001	0.0001	0.0748325	0.0414466	0.0359235	0.0001	0.0541773	0.0134123	0.0001	0.0637599
4	41505009	41517334	-	1110017D15Rik	protein_coding	1110017D15Rik	ensembl_havana	0.0416154	0.191606	0.134618	0.151704	0.0239823	0.034362	0.0271387	0.0666615	0.223054	0.04254
2	167188702	167192809	+	1110018N20Rik	lncRNA	1110018N20Rik	havana	0.982631	0.861877	0.986569	1.07511	1.18228	0.982276	1.47371	1.06508	0.637112	1.2733
6	13871526	14044386	+	1110019D14Rik	lncRNA	1110019D14Rik	havana	2.07587	1.59199	2.09261	1.94339	2.25698	1.99871	1.73057	1.91707	2.50568	1.61282
17	84917182	84957711	-	1110020A21Rik	lncRNA	1110020A21Rik	havana	0.263031	0.371143	0.164511	0.220615	0.334453	0.217092	0.297525	0.466031	0.233671	0.30779
15	81584174	81585029	-	1110025M09Rik	TEC	1110025M09Rik	havana	0.650508	0.981568	1.25561	1.13024	1.08675	0.902332	1.28444	1.33133	0.923768	0.774629
11	87701396	87705332	+	1110028F11Rik	lncRNA	1110028F11Rik	havana	0.138485	0.0599456	0.179458	0.0690111	0.131453	0.159989	0.0947353	0.133223	0.223054	0.0637599
9	50762828	50775521	-	1110032A03Rik	protein_coding	1110032A03Rik	ensembl_havana	6.06135	8.96497	7.09968	7.19442	7.94098	6.66977	7.69259	8.87941	7.33635	6.21756
3	68869586	68872164	+	1110032F04Rik	protein_coding	1110032F04Rik	ensembl_havana	0.152323	0.0599456	0.089779	0.193051	0.0956293	0.0115207	0.0676966	0.0799739	0.106269	0.0637599
7	29155680	29156921	+	1110035H17Rik	lncRNA	1110035H17Rik	ensembl_havana	0.0139385	0.0838839	0.0449395	0.0414466	0.0001	0.034362	0.081216	0.0533492	0.0425675	0.02132
17	34950238	34952472	-	1110038B12Rik	lncRNA	1110038B12Rik	havana	1.66072	2.29817	2.22713	1.94339	1.6241	1.49621	2.35246	1.78395	1.80497	2.06905
15	76948506	76950980	+	1110038F14Rik	protein_coding	1110038F14Rik	ensembl_havana	4.96811	5.85299	4.48405	5.4165	4.94374	5.09371	4.82649	4.92564	5.02187	5.35816
13	33935567	33960182	+	1110046J04Rik	lncRNA	1110046J04Rik	havana	2.38032	2.16651	2.37659	2.4809	2.01816	2.66111	2.60933	2.24988	2.59062	1.63404
2	91275068	91444705	-	1110051M20Rik	protein_coding	1110051M20Rik	ensembl_havana	9.65935	11.1553	10.8214	11.9906	11.595	9.04526	9.82864	10.5701	9.52342	12.3607
19	21581202	21652977	-	1110059E24Rik	protein_coding	1110059E24Rik	ensembl_havana	4.89892	6.08042	5.97868	6.33992	5.43332	5.1394	7.36813	6.52313	5.88184	6.67378
9	122945089	122951001	-	1110059G10Rik	protein_coding	1110059G10Rik	ensembl_havana	3.45972	5.18273	4.2748	3.81777	4.13175	4.27142	4.63723	5.67115	4.93694	3.95763
4	124849080	124851197	-	1110065P20Rik	protein_coding	1110065P20Rik	ensembl_havana	3.33516	3.43523	3.88619	3.00462	3.4511	3.8717	3.19066	2.79568	3.80093	3.38469
11	82974316	82975586	-	1190001M18Rik	lncRNA	1190001M18Rik	havana	0.221515	0.0719147	0.0001	0.0414466	0.0001	0.0001	0.0001	0.0400369	0.0319506	0.05315
8	120608602	120647633	-	1190005I06Rik	protein_coding	1190005I06Rik	ensembl_havana	2.49102	2.03094	2.73531	2.92065	2.11369	2.53549	2.14967	3.08091	2.37122	2.85807
10	82619851	82623229	-	1190007I07Rik	protein_coding	1190007I07Rik	ensembl_havana	1.86829	2.02288	1.62927	1.25249	1.09869	1.14217	1.32499	1.26477	1.42276	1.11415
2	167827693	167833647	-	1200007C13Rik	lncRNA	1200007C13Rik	havana	0.0001	0.0001	0.0001	0.0138822	0.0001	0.0572033	0.0001	0.0799739	0.0001	0.0001
16	21794318	21809041	+	1300002E11Rik	lncRNA	1300002E11Rik	havana	8.2728	7.04611	6.94851	8.03373	7.87457	6.92646	7.21028	8.0689	7.34305	8.41927
12	80115863	80117200	+	1300014J16Rik	lncRNA	1300014J16Rik	havana	1.66072	1.32867	1.85347	1.80557	1.11063	1.58757	1.14924	1.85051	0.8813	1.63404
9	103250521	103305083	-	1300017J02Rik	protein_coding	1300017J02Rik	ensembl_havana	0.138485	0.167668	0.0001	0.0690111	0.0956293	0.18283	0.108255	0.133223	0.0425675	0.1062
4	155732545	155734728	-	1500002C15Rik	lncRNA	1500002C15Rik	ensembl_havana	2.5187	2.69315	2.13745	2.60494	2.10174	2.78674	2.42006	2.39632	2.35705	2.26003
7	132874739	132931198	-	1500002F19Rik	lncRNA	1500002F19Rik	havana	0.0831308	0.215544	0.119672	0.0827933	0.0598058	0.251354	0.20289	0.34622	0.254905	0.11681
3	88782943	88832548	-	1500004A13Rik	lncRNA	1500004A13Rik	havana	4.33922	3.91675	4.37987	3.72983	4.6601	3.61528	2.93715	2.74708	3.87666	6.04948
3	127714634	127717028	-	1500005C15Rik	TEC	1500005C15Rik	havana	1.41162	0.730216	0.627853	0.827033	0.644923	1.01654	0.757182	1.0784	0.934384	0.689749
15	82252397	82260754	+	1500009C09Rik	protein_coding	1500009C09Rik	ensembl_havana	0.110808	0.347204	0.149565	0.179269	0.131453	0.0572033	0.108255	0.239722	0.318606	1.08232
10	83722865	83762763	+	1500009L16Rik	protein_coding	1500009L16Rik	ensembl_havana	1.34243	1.02944	1.33034	1.25428	1.00316	1.29063	1.02757	1.19821	1.30598	1.28391
5	114808196	114823469	-	1500011B03Rik	protein_coding	1500011B03Rik	ensembl_havana	5.49397	6.63099	6.03849	5.82998	5.1348	4.94524	4.98873	4.55291	5.68012	6.70561
7	75308696	75331420	+	1500012K07Rik	lncRNA	1500012K07Rik	havana	0.0416154	0.347205	0.0001	0.193051	0.0239823	0.0229413	0.0676966	0.106598	0.0956518	0.13803
18	61726390	61735918	+	1500015A07Rik	lncRNA	1500015A07Rik	havana	1.16253	1.20898	1.09119	1.21293	1.0748	1.07364	1.04109	0.998523	1.29536	1.13537
10	89686371	89700867	+	1500026H17Rik	lncRNA	1500026H17Rik	havana	0.332223	0.419019	0.164511	0.49626	0.31057	0.376982	0.284006	0.479343	0.414158	0.45633
19	4254031	4257652	-	1500032F14Rik	lncRNA	1500032F14Rik	havana	0.0139385	0.0360074	0.134618	0.0138822	0.0598058	0.114307	0.0001	0.0400369	0.0425675	0.18047
5	24985842	24998169	+	1500035N22Rik	lncRNA	1500035N22Rik	ensembl_havana	0.0001	0.0001	0.0150465	0.0001	0.0001	0.0229413	0.0001	0.0799739	0.0213337	0.0001
17	23704488	23722784	-	1520401A03Rik	protein_coding	1520401A03Rik	ensembl_havana	0.0277769	0.107822	0.029993	0.0552289	0.0359235	0.17141	0.135293	0.0932862	0.0107169	0.13803
10	80172944	80175147	+	1600002K03Rik	protein_coding	1600002K03Rik	ensembl_havana	0.844246	0.945661	0.89689	0.951073	0.967334	1.14217	0.770702	1.31802	1.11487	0.912559
7	109998376	110151203	-	1600010M07Rik	lncRNA	1600010M07Rik	havana	0.138485	0.0838839	0.0748325	0.0414466	0.0836881	0.034362	0.0271387	0.0932862	0.0107169	0.0001
17	14943184	14959571	+	1600012H06Rik	protein_coding	1600012H06Rik	ensembl_havana	8.49689	9.15643	9.28191	9.64766	9.18286	10.7012	10.8291	9.99762	10.4577	9.37935
7	38183217	38197569	+	1600014C10Rik	protein_coding	1600014C10Rik	ensembl_havana	11.7905	9.41981	12.6449	9.96461	10.58	9.9132	9.20675	10.7698	11.2965	11.183
17	45732864	45733845	-	1600014C23Rik	protein_coding	1600014C23Rik	ensembl_havana	0.263031	0.490834	0.149565	0.344655	0.215041	0.456926	0.40568	0.466031	0.403541	0.48816
3	30594844	30595758	-	1600017P15Rik	TEC | misc_RNA	1600017P15Rik	ensembl | havana	0.0692923	0.0001	0.0150465	0.0138822	0.0478646	0.0457826	0.0136193	0.0001	0.0107169	0.05315
6	86526247	86582467	+	1600020E01Rik	lncRNA	1600020E01Rik	havana	2.62941	3.15995	3.51253	3.11488	2.85404	2.19287	2.47414	3.40805	3.06837	3.31042
17	71144538	71181988	+	1600022D10Rik	lncRNA	1600022D10Rik	havana	0.0692923	0.0001	0.0001	0.0414466	0.0001	0.0001	0.040658	0.119911	0.0744181	0.01071
5	45668702	45669709	-	1600023N17Rik	TEC	1600023N17Rik	havana	0.0416154	0.0001	0.149565	0.261962	0.0239823	0.17141	0.0541773	0.119911	0.148736	0.04254
8	103343878	103347535	-	1600027J07Rik	lncRNA	1600027J07Rik	havana	0.138485	0.0479765	0.269137	0.289526	0.10757	0.0001	0.0136193	0.133223	0.0531843	0.05315
9	58202897	58208809	+	1600029O15Rik	transcribed_processed_pseudogene	1600029O15Rik	havana	0.0969692	0.0001	0.029993	0.0276644	0.0001	0.0572033	0.0001	0.0666615	0.0425675	0.0743699
5	30466047	30484089	+	1700001C02Rik	protein_coding	1700001C02Rik	ensembl_havana	0.0001	0.13176	0.089779	0.0965755	0.10757	0.0800446	0.148813	0.0932862	0.0213337	0.01071
17	47412734	47437377	-	1700001C19Rik	protein_coding	1700001C19Rik	ensembl_havana	0.110808	0.0001	0.0449395	0.0965755	0.0001	0.0457826	0.0001	0.0533492	0.0001	0.16986
14	66295334	66297130	-	1700001G11Rik	lncRNA	1700001G11Rik	havana	0.0969692	0.27539	0.104725	0.0690111	0.071747	0.102886	0.040658	0.0799739	0.16997	0.1062
1	33669824	33670713	+	1700001G17Rik	TEC	1700001G17Rik	ensembl_havana	0.0001	0.191606	0.0449395	0.0690111	0.071747	0.0572033	0.081216	0.0799739	0.0531843	0.05315
5	146182441	146185305	-	1700001J03Rik	protein_coding	1700001J03Rik	ensembl_havana	0.207677	0.383112	0.059886	0.151704	0.274747	0.114307	0.229929	0.226409	0.148736	0.12742
15	83353847	83367283	-	1700001L05Rik	lncRNA	1700001L05Rik	ensembl_havana	2.03435	2.11863	2.40649	1.90205	1.81516	1.62183	1.48723	1.42452	2.08101	2.11149
13	68597421	68614232	+	1700001L19Rik	protein_coding	1700001L19Rik	ensembl_havana	0.0969692	0.0719147	0.104725	0.289526	0.0478646	0.148569	0.081216	0.239722	0.212437	0.04254
2	30794769	30803662	-	1700001O22Rik	protein_coding	1700001O22Rik	ensembl_havana	0.207677	0.155699	0.328923	0.317091	0.10757	0.159989	0.162332	0.319595	0.318606	0.0955899
11	97771481	97775919	-	1700001P01Rik	protein_coding	1700001P01Rik	ensembl_havana	0.0277769	0.0479765	0.104725	0.0827933	0.0836881	0.0800446	0.0001	0.106598	0.0425675	0.0849799
6	83156404	83162946	+	1700003E16Rik	protein_coding	1700003E16Rik	ensembl_havana	0.249192	0.179637	0.254191	0.179269	0.215041	0.228513	0.311045	0.319595	0.276139	0.16986
2	154547085	154550004	+	1700003F12Rik	protein_coding	1700003F12Rik	ensembl_havana	0.0692923	0.095853	0.0150465	0.0827933	0.143394	0.0686239	0.0001	0.0666615	0.0744181	0.04254
7	116081759	116093160	-	1700003G18Rik	lncRNA	1700003G18Rik	havana	0.0692923	0.0838839	0.0150465	0.137922	0.119512	0.0457826	0.0947353	0.0533492	0.0744181	0.14864
4	129960374	129963658	+	1700003M07Rik	lncRNA	1700003M07Rik	havana	0.0001	0.0599456	0.119672	0.0965755	0.215041	0.0572033	0.0001	0.0533492	0.0850349	0.0955899
3	8462228	8463036	-	1700003N22Rik	processed_pseudogene	1700003N22Rik	havana	0.153456	0.144545	0.2696	0.0707048	0.10757	0.118757	0.0947353	0.0405849	0.235972	0.0853937
13	118555360	118588705	+	1700003P14Rik	lncRNA	1700003P14Rik	havana	0.0139385	0.0479765	0.104725	0.0001	0.0001	0.0229413	0.0271387	0.119911	0.0956518	0.01071
14	119749225	119751565	+	1700006F04Rik	lncRNA	1700006F04Rik	havana	0.0001	0.119791	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0213337	0.03193
10	120364157	120384337	+	1700006J14Rik	lncRNA	1700006J14Rik	ensembl_havana	0.0001	0.119791	0.089779	0.0276644	0.0359235	0.0800446	0.148813	0.0001	0.0638012	0.05315
16	31376506	31379134	-	1700007E05Rik	transcribed_processed_pseudogene	1700007E05Rik	havana	0.779071	0.564519	0.583013	0.468695	0.685241	0.456926	0.666707	0.918649	0.584028	0.563486
2	28462001	28466333	-	1700007K13Rik	protein_coding	1700007K13Rik	ensembl_havana	0.124646	0.167668	0.0150465	0.0276644	0.119512	0.114307	0.0541773	0.0932862	0.0744181	0.22291
16	33379854	33380728	-	1700007L15Rik	lncRNA	1700007L15Rik	havana	0.124646	0.191606	0.313976	0.137922	0.143394	0.18283	0.148813	0.386157	0.392924	0.2123
9	99322826	99323517	+	1700008A23Rik	TEC	1700008A23Rik	havana	0.0001	0.119791	0.0001	0.0001	0.0478646	0.034362	0.0001	0.0267246	0.0107169	0.03193
7	127510438	127512870	-	1700008J07Rik	lncRNA	1700008J07Rik	havana	1.63304	1.86728	1.36023	1.2405	1.6241	1.18785	1.48723	1.65083	1.02994	1.46428
7	44360043	44385821	-	1700008O03Rik	protein_coding	1700008O03Rik	ensembl_havana	0.0001	0.0479765	0.0449395	0.137922	0.071747	0.0572033	0.081216	0.0134123	0.0001	0.05315
10	77893417	77896115	+	1700009J07Rik	lncRNA	1700009J07Rik	ensembl_havana	0.0554538	0.0001	0.029993	0.0001	0.0001	0.0001	0.0947353	0.0001	0.0213337	0.04254
15	73645852	73652348	+	1700010B13Rik	lncRNA	1700010B13Rik	havana	0.0277769	0.0599456	0.029993	0.0001	0.0001	0.034362	0.0541773	0.0400369	0.0213337	0.02132
17	8988333	9011950	+	1700010I14Rik	protein_coding	1700010I14Rik	ensembl_havana	0.429092	0.670371	0.642799	0.647864	0.358335	0.411244	0.513834	0.266346	0.33984	0.18047
13	35167927	35188018	+	1700011B04Rik	lncRNA	1700011B04Rik	havana	0.0554538	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0213337	0.05315
8	79210431	79248571	-	1700011L22Rik	protein_coding	1700011L22Rik	ensembl_havana	0.0277769	0.0360074	0.059886	0.0138822	0.0001	0.0001	0.0136193	0.0267246	0.0001	0.14864
4	117213334	117213783	-	1700012C08Rik	lncRNA	1700012C08Rik	havana	0.0359578	0.0001	0.0509133	0.0001	0.033151	0.0001	0.0001	0.0400369	0.0001	0.101107
7	111083064	111122685	-	1700012D14Rik	lncRNA	1700012D14Rik	havana	3.26814	3.26531	3.3654	3.56846	4.30223	3.63037	3.59974	3.41235	4.03623	3.79613
3	153296504	153298650	-	1700012D16Rik	lncRNA	1700012D16Rik	havana	0.0831308	0.27539	0.209351	0.386002	0.071747	0.262775	0.229929	0.0533492	0.212437	0.19108
13	59740842	59746753	-	1700014D04Rik	protein_coding	1700014D04Rik	ensembl_havana	0.0969692	0.0479765	0.119672	0.0552289	0.0478646	0.034362	0.0271387	0.0799739	0.0319506	0.0637599
5	5437827	5479144	-	1700015F17Rik	protein_coding	1700015F17Rik	ensembl_havana	0.0969692	0.0719147	0.0001	0.0001	0.0836881	0.0001	0.0271387	0.0134123	0.0001	0.02132
1	177729814	177753325	+	1700016C15Rik	protein_coding	1700016C15Rik	ensembl_havana	0.0139385	0.107822	0.059886	0.0414466	0.0478646	0.0914652	0.0676966	0.0001	0.0744181	0.01071
11	75172560	75177634	+	1700016P03Rik	lncRNA	1700016P03Rik	havana	0.0001	0.0479765	0.0150465	0.0276644	0.143394	0.0800446	0.0541773	0.0400369	0.0001	0.02132
9	57253117	57262613	-	1700017B05Rik	protein_coding	1700017B05Rik	ensembl_havana	6.17205	5.99661	6.77087	5.77485	4.7885	6.04163	5.85397	5.80426	4.7777	4.39264
3	40504867	40522913	-	1700017G19Rik	lncRNA	1700017G19Rik	ensembl_havana	0.622831	0.802031	0.777318	0.482477	0.358335	0.993697	0.946453	0.812151	0.573411	0.668529
2	168978268	168978907	+	1700017J07Rik	lncRNA	1700017J07Rik	havana	0.0969692	0.0360074	0.0748325	0.0552289	0.0836881	0.0686239	0.081216	0.106598	0.0425675	0.05315
13	31565492	31625793	-	1700018A04Rik	lncRNA	1700018A04Rik	ensembl_havana	1.95132	1.46033	1.5097	1.30941	1.30169	1.96445	1.59538	1.59758	1.34844	0.933779
19	29046245	29048730	+	1700018L02Rik	lncRNA	1700018L02Rik	havana	2.47718	3.97385	2.28691	2.83924	2.75851	1.80456	3.23122	3.2483	3.29133	3.43774
13	35184370	35212049	-	1700019C18Rik	lncRNA	1700019C18Rik	havana	0.0001	0.0001	0.0449395	0.0001	0.0001	0.0115207	0.0001	0.0267246	0.0850349	0.0001
1	52922324	53020180	-	1700019D03Rik	protein_coding	1700019D03Rik	ensembl_havana	9.52097	10.0901	7.75736	8.86207	8.45442	9.64172	12.0052	10.4769	11.3814	9.21331
9	14089620	14118302	+	1700019J19Rik	lncRNA	1700019J19Rik	havana	0.0692923	0.0001	0.0150465	0.0001	0.0120412	0.0001	0.0541773	0.0400369	0.0001	0.0001
9	119983146	119988093	+	1700019L13Rik	lncRNA	1700019L13Rik	havana	0.0001	0.0001	0.0001	0.0001	0.0001	0.0229413	0.0001	0.0400369	0.0107169	0.0849799
19	5502767	5503788	-	1700020D05Rik	protein_coding	1700020D05Rik	havana	1.49465	1.04141	1.4798	1.51614	0.931511	1.15359	1.39259	1.13165	1.41214	1.19903
8	70488181	70489070	+	1700020G03Rik	TEC	1700020G03Rik	havana	0.0001	0.0120691	0.0001	0.0001	0.0478646	0.0001	0.0001	0.0267246	0.0319506	0.0001
1	91404879	91406030	-	1700020N18Rik	lncRNA	1700020N18Rik	havana	0.0001	0.0001	0.029993	0.0414466	0.0598058	0.0001	0.0001	0.0001	0.0001	0.0001
10	43525133	43540995	-	1700021F05Rik	protein_coding	1700021F05Rik	ensembl_havana	5.83993	7.2893	5.67977	6.22966	5.32586	6.82965	5.35375	6.58969	6.40207	6.01597
4	134448766	134450172	-	1700021N21Rik	lncRNA	1700021N21Rik	havana	0.0001	0.0001	0.029993	0.0001	0.0001	0.034362	0.0271387	0.0001	0.0638012	0.05315
17	25985808	25991031	+	1700022N22Rik	lncRNA	1700022N22Rik	havana	0.138485	0.215544	0.104725	0.220615	0.143394	0.102886	0.243448	0.106598	0.233671	0.0743699
13	80884224	80885525	-	1700023H06Rik	lncRNA	1700023H06Rik	havana	0.0554538	0.0479765	0.0150465	0.0552289	0.0239823	0.0001	0.0947353	0.0400369	0.0638012	0.01071
11	49586641	49588463	-	1700024J04Rik	pseudogene	1700024J04Rik	ensembl	0.0001	0.0001	0.0150465	0.0001	0.0239823	0.0115207	0.0001	0.0400369	0.0107169	0.03193
5	67607218	67607827	-	1700025A08Rik	TEC	1700025A08Rik	havana	0.0001	0.0360074	0.0150465	0.0001	0.0359235	0.0229413	0.0001	0.0001	0.0107169	0.05315
1	151852403	152090126	-	1700025G04Rik	protein_coding	1700025G04Rik	ensembl_havana	23.7054	21.1136	20.8804	20.3564	19.906	21.7451	24.0645	23.6561	19.3441	20.6472
7	46345771	46349374	-	1700025L06Rik	lncRNA	1700025L06Rik	havana	0.0001	0.0001	0.0001	0.0001	0.0001	0.0457826	0.040658	0.0001	0.0319506	0.0001
6	39063878	39067599	-	1700025N23Rik	lncRNA	1700025N23Rik	havana	0.0001	0.0001	0.0001	0.0690111	0.0001	0.034362	0.0001	0.0400369	0.0001	0.0743699
6	48536582	48537475	-	1700026J14Rik	lncRNA	1700026J14Rik	havana	0.0831308	0.0001	0.0150465	0.12414	0.0359235	0.0001	0.0136193	0.133223	0.0531843	0.0849799
13	47106419	47109520	+	1700026N04Rik	lncRNA	1700026N04Rik	havana	0.0139385	0.0001	0.0001	0.0276644	0.0239823	0.0001	0.040658	0.0001	0.0001	0.04254
10	43745809	43765837	+	1700027J07Rik	lncRNA	1700027J07Rik	havana	0.138485	0.0001	0.029993	0.0276644	0.0001	0.148569	0.0001	0.0533492	0.0956518	0.0001
5	151368675	151432119	+	1700028E10Rik	lncRNA	1700028E10Rik	havana	1.55001	1.36458	0.956676	0.840815	1.50469	0.925173	1.23036	1.43783	0.722047	1.08232
7	44229811	44246696	-	1700028J19Rik	protein_coding	1700028J19Rik	ensembl_havana	0.0969692	0.107822	0.089779	0.261962	0.215041	0.125727	0.121774	0.17316	0.0744181	0.0849799
5	107534709	107551543	+	1700028K03Rik	protein_coding	1700028K03Rik	ensembl_havana	0.25789	0.239482	0.209351	0.110358	0.44156	0.253107	0.162332	0.194899	0.260435	0.647309
11	103264860	103267746	-	1700028N14Rik	lncRNA	1700028N14Rik	havana	0.318385	0.167668	0.343869	0.482477	0.286688	0.274196	0.432718	0.466031	0.350457	0.19108
8	13550733	13562462	-	1700029H14Rik	protein_coding	1700029H14Rik	ensembl_havana	0.124646	0.0001	0.0001	0.0138822	0.0001	0.102886	0.0001	0.0533492	0.0213337	0.0743699
2	92382538	92385709	+	1700029I15Rik	protein_coding	1700029I15Rik	ensembl_havana	0.761215	1.49624	0.777318	1.18537	1.06286	0.810966	1.28444	1.30471	1.44399	1.10354
16	93391677	93458873	-	1700029J03Rik	lncRNA	1700029J03Rik	havana	0.0416154	0.0838838	0.0001	0.0414466	0.0001	0.0229413	0.0001	0.0533492	0.0001	0.01071
8	45953606	45975441	-	1700029J07Rik	protein_coding	1700029J07Rik	ensembl_havana	4.22083	4.24914	4.79793	4.14854	4.57357	4.23716	4.09645	4.9789	3.49305	4.65788
12	20804381	20815780	-	1700030C10Rik	lncRNA | transcribed_unprocessed_pseudogene	1700030C10Rik	ensembl_havana | havana	0.221515	0.718247	0.29903	0.220615	0.692687	0.411244	0.81126	0.466031	0.33984	0.24413
12	83122214	83123156	+	1700030I03Rik	TEC	1700030I03Rik	havana	0.0831308	0.119791	0.284083	0.261962	0.274747	0.159989	0.148813	0.106598	0.148736	0.16986
8	116969594	116978960	-	1700030J22Rik	protein_coding	1700030J22Rik	ensembl_havana	0.415254	0.897784	0.717532	0.592735	0.847922	0.479768	0.635508	0.466031	0.743281	1.35818
8	72443880	72461002	+	1700030K09Rik	protein_coding	1700030K09Rik	ensembl_havana	4.80205	4.4526	5.3958	3.81777	5.39752	4.84246	4.00182	4.51296	5.10681	4.15923
